Year,Zip Code,Population,Veteran Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,Two or More Races,Not Hispanic or Latino Origin,Hispanic or Latino Origin,Renter Population,Population in Poverty,Population with Disability,Senior Population (60y+),Households Receiving SNAP,Median Income,Youth Population,Population_Below_50_FPL,Population_Below_100_FPL,Population_Below_150_FPL,Population_Below_200_FPL,LIHEAP Request,Male Population,Female Population,Gini Coefficient,Percentage High School or Less,Percentage Some College or Less,Median Home Value,Median Gross Rent,Percentage of Renter Occupied,Rental Vacancy Rate,Total Housing Units,Percentage Overcrowded,Percentage One Person HH,Percetange Pre 1940,Median Electric Cost,Median Gas Cost,Median Water/Sewage Cost,Civilian Labor Force,Employed,Unemployed,Labor Force Participation Rate,Unemployment Rate
2023,92132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,92134,295,27,119,130,8,,,27,11,238,57,94,,,,,,60,,,,,,202,93,,0.344827586,0.344827586,,,1,,16,,,,16,16,16,41,23,18,0.982978723,0.43902439
2023,92135,1013,17,458,118,34,92,44,139,128,681,332,,,,,,,,,,,,,890,123,,0.080808081,0.141414141,,,,,,,,,,,,19,19,,0.983218164,
2023,92136,8774,373,4492,1621,126,1060,26,719,730,6740,2034,16,16,,,16,,9,,,16,16,,7119,1655,,0.18717586,0.297029703,,,1,0.407407407,27,,1,,16,16,16,416,416,,0.997948484,
2023,92139,34780,2568,7734,3701,255,9974,635,4660,7821,20478,14302,12922,4406,3870,,1235,92381,7606,1329,2549,4406,8535,4227,16688,18092,0.383,0.386952862,0.498274411,598500,2107,0.398464759,0.054571159,10610,0.103080451,0.164290699,0.009048068,10031,10031,10031,17675,16618,1057,0.661126139,0.05980198
2023,92140,2490,277,1542,221,33,141,,301,252,1610,880,,,,,,,33,,,,,,2398,92,,0.442996743,0.61237785,,,,,,,,,,,,319,319,,0.94939759,
2023,92145,2583,255,1410,376,48,101,7,321,320,1760,823,,,,,,,,,,,,,2353,230,,0.296116505,0.354368932,,,,,,,,,,,,56,56,,0.920247774,
2023,92147,172,,106,23,,,,31,12,120,52,,,,,,,,,,,,,137,35,,0.2,0.2,,,,,,,,,,,,,,,1,
2023,92154,82832,4534,27060,4675,1090,10154,362,14878,24613,26257,56575,31084,14452,8638,15108,3260,90035,19045,4443,8848,14452,21699,6741.98,43001,39831,0.3943,0.43267754,0.549367366,606400,2143,0.399530169,0.035456529,23832,0.119458825,0.139339627,0.006545821,22987,22987,22987,38615,35382,3233,0.616188896,0.083723941
2023,92155,141,9,65,22,,,9,30,15,78,63,,,,,,,,,,,,,141,,,0.702702703,0.702702703,,,,,,,,,,,,9,9,,1,
2023,92161,24,24,24,,,,,,,12,12,,,,,,,,,,,,,24,,,,0.5,,,,,,,,,,,,,,,,
2023,92173,26507,644,7296,438,338,659,162,7073,10541,1958,24549,16265,6551,3514,,1731,65865,6149,1193,3611,6551,10173,885,12792,13715,0.4684,0.576991544,0.699988874,521800,1588,0.646670976,0.055555556,8190,0.210730446,0.234001293,0.027472527,7735,7735,7735,13209,11687,1522,0.630805913,0.115224468
2023,92179,3034,174,1341,921,78,69,18,342,265,1762,1272,,,,,,,,,,,,,3034,,,0.556865465,0.788834951,,,,,,,,,,,,,,,,
